(2024-08-17 10:44:53,045) [INFO] ARA: init started ...
(2024-08-17 10:45:03,540) [INFO] Disconnecting...
(2024-08-17 10:45:12,998) [INFO] ARA: init started ...
(2024-08-17 10:45:22,072) [INFO] selected track changed: ARA
(2024-08-17 10:46:48,026) [INFO] shift pressed: True
(2024-08-17 10:46:48,064) [INFO] try lock track ARA
(2024-08-17 10:46:48,064) [INFO] Target track: ARA
(2024-08-17 10:46:48,065) [INFO] creating clip
(2024-08-17 10:46:48,076) [INFO] devices=<Base.Vector object at 0x16af59168>
(2024-08-17 10:46:48,076) [INFO] pad=<DrumPad.DrumPad object at 0x10ae03570>
(2024-08-17 10:46:48,076) [INFO] pad=<Base.Vector object at 0x16af59168>
(2024-08-17 10:46:48,076) [INFO] pad=<DrumChain.DrumChain object at 0x10ae03570>
(2024-08-17 10:46:48,076) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x17fd1eab0>
(2024-08-17 10:46:48,076) [INFO] pad=1.626 dB
(2024-08-17 10:46:48,076) [INFO] creating clip done
(2024-08-17 10:46:48,076) [INFO] reflecting device
(2024-08-17 10:46:48,326) [INFO] shift pressed: False
(2024-08-17 10:47:03,772) [INFO] shift pressed: True
(2024-08-17 10:47:04,087) [INFO] shift pressed: False
(2024-08-17 10:47:04,844) [INFO] toggled step 1 for instrument 0
(2024-08-17 10:47:04,846) [INFO] toggled step 0 for instrument 0
(2024-08-17 10:47:04,864) [INFO] toggled step 3 for instrument 0
(2024-08-17 10:47:05,415) [INFO] toggled step 2 for instrument 0
(2024-08-17 10:47:12,202) [INFO] toggled step 2 for instrument 0
(2024-08-17 10:48:45,236) [INFO] Disconnecting...
(2024-08-17 10:48:49,691) [INFO] ARA: init started ...
(2024-08-17 10:49:18,843) [INFO] shift pressed: True
(2024-08-17 10:49:19,183) [INFO] shift pressed: False
(2024-08-17 10:49:20,343) [INFO] shift pressed: True
(2024-08-17 10:49:20,652) [INFO] shift pressed: False
(2024-08-17 10:49:23,403) [INFO] shift pressed: True
(2024-08-17 10:49:23,702) [INFO] shift pressed: False
(2024-08-17 10:49:25,723) [INFO] shift pressed: True
(2024-08-17 10:49:26,243) [INFO] shift pressed: False
(2024-08-17 10:49:27,552) [INFO] shift pressed: True
(2024-08-17 10:49:27,792) [INFO] try lock track ARA
(2024-08-17 10:49:27,792) [INFO] Target track: ARA
(2024-08-17 10:49:27,792) [INFO] creating clip
(2024-08-17 10:49:27,808) [INFO] devices=<Base.Vector object at 0x10e8e7308>
(2024-08-17 10:49:27,808) [INFO] pad=<DrumPad.DrumPad object at 0x2add71b20>
(2024-08-17 10:49:27,809) [INFO] pad=<Base.Vector object at 0x10e8e7308>
(2024-08-17 10:49:27,809) [INFO] pad=<DrumChain.DrumChain object at 0x2add71b20>
(2024-08-17 10:49:27,809) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x2add71960>
(2024-08-17 10:49:27,809) [INFO] pad=1.939 dB
(2024-08-17 10:49:27,809) [INFO] creating clip done
(2024-08-17 10:49:27,809) [INFO] reflecting device
(2024-08-17 10:49:27,851) [INFO] shift pressed: False
(2024-08-17 10:49:39,663) [INFO] shift pressed: True
(2024-08-17 10:49:39,965) [INFO] shift pressed: False
(2024-08-17 10:49:41,039) [INFO] shift pressed: True
(2024-08-17 10:49:41,335) [INFO] shift pressed: False
(2024-08-17 10:49:44,262) [INFO] shift pressed: True
(2024-08-17 10:49:44,562) [INFO] shift pressed: False
(2024-08-17 10:49:48,314) [INFO] shift pressed: True
(2024-08-17 10:49:48,803) [INFO] shift pressed: False
(2024-08-17 10:49:49,191) [INFO] shift pressed: True
(2024-08-17 10:49:49,502) [INFO] try lock track ARA
(2024-08-17 10:49:49,503) [INFO] Target track: ARA
(2024-08-17 10:49:49,503) [INFO] creating clip
(2024-08-17 10:49:49,524) [INFO] devices=<Base.Vector object at 0x168781988>
(2024-08-17 10:49:49,524) [INFO] pad=<DrumPad.DrumPad object at 0x2add58c00>
(2024-08-17 10:49:49,524) [INFO] pad=<Base.Vector object at 0x168781988>
(2024-08-17 10:49:49,524) [INFO] pad=<DrumChain.DrumChain object at 0x2add58c00>
(2024-08-17 10:49:49,524) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x16877f5e0>
(2024-08-17 10:49:49,524) [INFO] pad=1.939 dB
(2024-08-17 10:49:49,524) [INFO] creating clip done
(2024-08-17 10:49:49,524) [INFO] reflecting device
(2024-08-17 10:49:49,551) [INFO] shift pressed: False
(2024-08-17 10:49:49,561) [INFO] shift pressed: True
(2024-08-17 10:49:49,862) [INFO] shift pressed: False
(2024-08-17 10:50:00,972) [INFO] toggled step 0 for instrument 0
(2024-08-17 10:50:04,873) [INFO] shift pressed: True
(2024-08-17 10:50:05,114) [INFO] try lock track ARA
(2024-08-17 10:50:05,115) [INFO] Target track: ARA
(2024-08-17 10:50:05,115) [INFO] creating clip
(2024-08-17 10:50:05,126) [INFO] devices=<Base.Vector object at 0x168781988>
(2024-08-17 10:50:05,127) [INFO] pad=<DrumPad.DrumPad object at 0x10ae03c00>
(2024-08-17 10:50:05,127) [INFO] pad=<Base.Vector object at 0x168781988>
(2024-08-17 10:50:05,127) [INFO] pad=<DrumChain.DrumChain object at 0x10ae03c00>
(2024-08-17 10:50:05,127) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x10ae03c00>
(2024-08-17 10:50:05,127) [INFO] pad=1.939 dB
(2024-08-17 10:50:05,127) [INFO] creating clip done
(2024-08-17 10:50:05,127) [INFO] reflecting device
(2024-08-17 10:50:05,314) [INFO] shift pressed: False
(2024-08-17 10:50:05,315) [INFO] shift pressed: True
(2024-08-17 10:50:05,617) [INFO] shift pressed: False
(2024-08-17 10:50:07,480) [INFO] shift pressed: True
(2024-08-17 10:50:07,797) [INFO] shift pressed: False
(2024-08-17 10:50:08,454) [INFO] toggled step 0 for instrument 0
(2024-08-17 10:50:08,651) [INFO] toggled step 1 for instrument 0
(2024-08-17 10:50:08,740) [INFO] toggled step 2 for instrument 0
(2024-08-17 10:50:08,841) [INFO] toggled step 3 for instrument 0
(2024-08-17 10:50:10,934) [INFO] toggled step 0 for instrument 0
